epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
15,0.9962910413742065,0.2214886099100113,0.038559846580028534,1e-04,0.9434512257575989,0.8632315397262573,0.995477557182312,0.22816358506679535,0.0391625352203846,0.9194844365119934,0.8580343127250671
16,0.9963306188583374,0.23774760961532593,0.03526049479842186,1e-04,0.9444670081138611,0.865150511264801,0.9950358271598816,0.25153812766075134,0.037163011729717255,0.8716941475868225,0.9156056642532349
17,0.9964199066162109,0.2555675506591797,0.03224123641848564,1e-04,0.9481964707374573,0.8679834008216858,0.9951193928718567,0.2654738128185272,0.034475263208150864,0.8747546076774597,0.9194806218147278
18,0.9964786767959595,0.2731662094593048,0.029597865417599678,1e-04,0.9506169557571411,0.8720407485961914,0.9952683448791504,0.28788164258003235,0.031371109187603,0.8812846541404724,0.9279854893684387
19,0.9965692162513733,0.29192665219306946,0.027156755328178406,1e-04,0.9537325501441956,0.8771764039993286,0.9954405426979065,0.30283427238464355,0.028805363923311234,0.8966387510299683,0.9115293622016907
20,0.9965817332267761,0.3094229996204376,0.025123372673988342,1e-04,0.9552424550056458,0.8755680918693542,0.9957602620124817,0.3180496394634247,0.02631116844713688,0.9207951426506042,0.8951235413551331
21,0.9966645240783691,0.3279148042201996,0.023157890886068344,1e-04,0.958967924118042,0.8803382515907288,0.9959629774093628,0.33380720019340515,0.02408364601433277,0.9413740634918213,0.8743394613265991
22,0.9966544508934021,0.3450554311275482,0.021581219509243965,1e-04,0.9577088356018066,0.8817028999328613,0.9958815574645996,0.3367701768875122,0.022787997499108315,0.9712927341461182,0.8019727468490601
23,0.9966577887535095,0.3617483377456665,0.020137112587690353,1e-04,0.9570671319961548,0.8822024464607239,0.9958575963973999,0.3491344153881073,0.02157898247241974,0.9727824330329895,0.798600971698761
24,0.9967970848083496,0.3821248710155487,0.01850881054997444,1e-04,0.9646027088165283,0.8858577013015747,0.9959912896156311,0.3767041265964508,0.01992081105709076,0.9569181799888611,0.845050573348999
25,0.9969072341918945,0.40267738699913025,0.017074989154934883,1e-04,0.9701470732688904,0.8885321617126465,0.996087908744812,0.40643107891082764,0.018331533297896385,0.9472424387931824,0.8764531016349792
26,0.9969697594642639,0.42167744040489197,0.015859322622418404,1e-04,0.9728575348854065,0.8906826972961426,0.9961053729057312,0.4250158965587616,0.017442110925912857,0.9391642808914185,0.8980926871299744
27,0.9970046281814575,0.44010066986083984,0.014822191558778286,1e-04,0.9737119674682617,0.8933632373809814,0.9960588812828064,0.4415386915206909,0.016635539010167122,0.9363866448402405,0.8941170573234558
28,0.9970118999481201,0.45676758885383606,0.013937842100858688,1e-04,0.9739207029342651,0.89388108253479,0.9960871934890747,0.453961580991745,0.01575096696615219,0.9385489821434021,0.8892859220504761
29,0.9970183968544006,0.47280552983283997,0.013139892369508743,1e-04,0.9744102954864502,0.8931134343147278,0.9961649775505066,0.4641844928264618,0.015029191970825195,0.9511727094650269,0.8734839558601379
30,0.9970492720603943,0.48935845494270325,0.012365716509521008,1e-04,0.9756420254707336,0.8945633769035339,0.9961431622505188,0.47548243403434753,0.014434113167226315,0.953131914138794,0.8637713193893433
31,0.9970474243164062,0.5045819878578186,0.011708805337548256,1e-04,0.975806713104248,0.8944171667098999,0.9961220622062683,0.49234116077423096,0.013857746496796608,0.9485711455345154,0.8752956390380859
